Date,Open,High,Low,Close,Volume
2022-07-22,16151.4,16752.25,16142.2,16719.45,1169260000.0
2022-07-29,16662.55,17172.8,16438.75,17158.25,1417130000.0
2022-08-05,17243.2,17490.7,17154.8,17397.5,1680880000.0
2022-08-12,17401.5,17724.65,17359.75,17698.15,1184830000.0
2022-08-19,17797.2,17992.2,17710.75,17758.45,822310000.0
2022-08-26,17682.9,17726.5,17345.2,17558.9,1331950000.0
2022-09-02,17188.65,17777.65,17166.2,17539.45,1134350000.0
2022-09-09,17546.45,17925.95,17484.3,17833.35,1385800000.0
2022-09-16,17890.85,18096.15,17497.25,17530.85,1612130000.0
2022-09-23,17540.65,17919.3,17291.65,17327.35,1441810000.0
2022-09-30,17156.3,17196.4,16747.7,17094.35,1891970000.0
2022-10-07,17102.1,17428.8,16855.55,17314.65,986110000.0
2022-10-14,17094.35,17348.55,16950.3,17185.7,1266110000.0
2022-10-21,17144.8,17670.15,17098.55,17576.3,1189490000.0
2022-10-28,17736.35,17838.9,17637.0,17786.8,871070000.0
2022-11-04,17910.2,18178.75,17899.9,18117.15,1328890000.0
2022-11-11,18211.75,18362.3,17969.4,18349.7,1256840000.0
2022-11-18,18376.4,18442.15,18209.8,18307.65,1170910000.0
2022-11-25,18246.4,18534.9,18133.35,18512.75,980190000.0
2022-12-02,18430.55,18887.6,18365.6,18696.1,1326730000.0
2022-12-09,18719.55,18728.6,18410.1,18496.6,1125320000.0
2022-12-16,18402.15,18696.1,18255.15,18269.0,1050280000.0
2022-12-23,18288.1,18473.35,17779.5,17806.8,928630000.0
2022-12-30,17830.4,18265.25,17774.25,18105.3,1057840000.0
2023-01-06,18131.7,18251.95,17795.55,17859.45,1208100000.0
2023-01-13,17952.55,18141.4,17761.65,17956.6,1284840000.0
2023-01-20,18033.15,18183.75,17853.65,18027.65,1156160000.0
2023-01-27,18118.45,18201.25,17493.55,17604.35,1152940000.0
2023-02-03,17541.95,17972.2,17353.4,17854.05,2257870000.0
2023-02-10,17818.55,17916.9,17652.55,17856.5,1420770000.0
